gain,integrationtime,UVA,UVB,UVC,temp,AccX,AccY,AccZ,GYRO_X,GYRO_Y,GYRO_Z,input1,input2,day,month,year,hour,minute,second,VISgain,VISintegrationtime,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,c_CH1,c_CH2,c_CH3,c_CH4,c_CH5,c_CH6,c_CH7,c_CH8,c_CH9,c_CH10,c_CH11,c_CH12,c_CH13,c_CH14,c_CH15,c_CH16,c_CH17,c_CH18,temp1,temp2,temp3,Label,uiI2CReadError,uiI2CWriteError,uiStatus1,uiStatus2,Label.1,uiI2CReadError.1,uiI2CWriteError.1,Label.2,uiI2CError,uiI2CReadDetailError,uiI2CWriteDetailError
   1, 2048,   94,   64, 2944, 25.2,  0.97, -0.01, -0.17,    0.8,   -0.6,   -2.1,0,0,13,05,2024,16,29,48,  3,255,  298,   94,  123,  736, 1843,  379,  298,   94,  298,  123,   94,  736,  123,  736, 1843,  379, 1843,  379,  291.9,   97.9,  102.7,  588.1, 1510.5,  397.7,  291.9,   97.9,  291.9,  102.7,   97.9,  588.1,  102.7,  588.1, 1510.5,  397.7, 1510.5,  397.7, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   94,   64, 2946, 25.3,  0.98, -0.01, -0.18,    0.8,   -0.4,   -2.2,0,0,13,05,2024,16,29,58,  3,255,  296,   93,  121,  725, 1819,  374,  296,   93,  296,  121,   93,  725,  121,  725, 1819,  374, 1819,  374,  289.9,   96.9,  101.0,  579.3, 1490.8,  392.4,  289.9,   96.9,  289.9,  101.0,   96.9,  579.3,  101.0,  579.3, 1490.8,  392.4, 1490.8,  392.4, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   94,   64, 2947, 25.3,  0.97, -0.01, -0.17,    0.8,   -0.6,   -2.0,0,0,13,05,2024,16,30,08,  3,255,  294,   92,  120,  717, 1799,  371,  294,   92,  294,  120,   92,  717,  120,  717, 1799,  371, 1799,  371,  288.0,   95.8,  100.2,  572.9, 1474.4,  389.3,  288.0,   95.8,  288.0,  100.2,   95.8,  572.9,  100.2,  572.9, 1474.4,  389.3, 1474.4,  389.3, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   94,   64, 2948, 25.3,  0.97, -0.01, -0.17,    0.9,   -0.6,   -2.2,0,0,13,05,2024,16,30,18,  3,255,  294,   92,  119,  709, 1782,  367,  294,   92,  294,  119,   92,  709,  119,  709, 1782,  367, 1782,  367,  288.0,   95.8,   99.3,  566.5, 1460.5,  385.1,  288.0,   95.8,  288.0,   99.3,   95.8,  566.5,   99.3,  566.5, 1460.5,  385.1, 1460.5,  385.1, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   94,   64, 2948, 25.3,  0.97, -0.01, -0.17,    0.9,   -0.6,   -2.0,0,0,13,05,2024,16,30,28,  3,255,  293,   91,  118,  702, 1768,  364,  293,   91,  293,  118,   91,  702,  118,  702, 1768,  364, 1768,  364,  287.0,   94.8,   98.5,  560.9, 1449.0,  381.9,  287.0,   94.8,  287.0,   98.5,   94.8,  560.9,   98.5,  560.9, 1449.0,  381.9, 1449.0,  381.9, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   94,   63, 2949, 25.3,  0.97, -0.01, -0.17,    0.8,   -0.6,   -2.2,0,0,13,05,2024,16,30,38,  3,255,  292,   91,  118,  697, 1756,  362,  292,   91,  292,  118,   91,  697,  118,  697, 1756,  362, 1756,  362,  286.0,   94.8,   98.5,  556.9, 1439.2,  379.8,  286.0,   94.8,  286.0,   98.5,   94.8,  556.9,   98.5,  556.9, 1439.2,  379.8, 1439.2,  379.8, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2949, 25.3,  0.97, -0.01, -0.18,    0.8,   -0.5,   -2.3,0,0,13,05,2024,16,30,48,  3,255,  291,   91,  117,  693, 1745,  360,  291,   91,  291,  117,   91,  693,  117,  693, 1745,  360, 1745,  360,  285.0,   94.8,   97.7,  553.7, 1430.2,  377.7,  285.0,   94.8,  285.0,   97.7,   94.8,  553.7,   97.7,  553.7, 1430.2,  377.7, 1430.2,  377.7, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2949, 25.3,  0.97, -0.01, -0.17,    0.8,   -0.4,   -2.1,0,0,13,05,2024,16,30,58,  3,255,  291,   90,  116,  687, 1735,  358,  291,   90,  291,  116,   90,  687,  116,  687, 1735,  358, 1735,  358,  285.0,   93.7,   96.8,  548.9, 1422.0,  375.6,  285.0,   93.7,  285.0,   96.8,   93.7,  548.9,   96.8,  548.9, 1422.0,  375.6, 1422.0,  375.6, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2949, 25.3,  0.97, -0.01, -0.17,    0.7,   -0.6,   -2.1,0,0,13,05,2024,16,31,08,  3,255,  290,   90,  116,  683, 1728,  356,  290,   90,  290,  116,   90,  683,  116,  683, 1728,  356, 1728,  356,  284.0,   93.7,   96.8,  545.7, 1416.2,  373.5,  284.0,   93.7,  284.0,   96.8,   93.7,  545.7,   96.8,  545.7, 1416.2,  373.5, 1416.2,  373.5, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2950, 25.3,  0.97, -0.02, -0.17,    0.7,   -0.6,   -2.3,0,0,13,05,2024,16,31,18,  3,255,  290,   90,  115,  680, 1720,  355,  290,   90,  290,  115,   90,  680,  115,  680, 1720,  355, 1720,  355,  284.0,   93.7,   96.0,  543.3, 1409.7,  372.5,  284.0,   93.7,  284.0,   96.0,   93.7,  543.3,   96.0,  543.3, 1409.7,  372.5, 1409.7,  372.5, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2950, 25.3,  0.97, -0.02, -0.19,    0.6,   -0.7,   -2.1,0,0,13,05,2024,16,31,28,  3,255,  289,   90,  115,  677, 1715,  354,  289,   90,  289,  115,   90,  677,  115,  677, 1715,  354, 1715,  354,  283.1,   93.7,   96.0,  540.9, 1405.6,  371.4,  283.1,   93.7,  283.1,   96.0,   93.7,  540.9,   96.0,  540.9, 1405.6,  371.4, 1405.6,  371.4, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2950, 25.3,  0.97, -0.01, -0.17,    0.8,   -0.7,   -2.1,0,0,13,05,2024,16,31,38,  3,255,  289,   90,  115,  674, 1711,  353,  289,   90,  289,  115,   90,  674,  115,  674, 1711,  353, 1711,  353,  283.1,   93.7,   96.0,  538.5, 1402.3,  370.4,  283.1,   93.7,  283.1,   96.0,   93.7,  538.5,   96.0,  538.5, 1402.3,  370.4, 1402.3,  370.4, 27, 27, 28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2950, 25.3,  0.97, -0.01, -0.18,    0.8,   -0.6,   -2.0,0,0,13,05,2024,16,31,48,  3,255,  289,   89,  114,  671, 1707,  352,  289,   89,  289,  114,   89,  671,  114,  671, 1707,  352, 1707,  352,  283.1,   92.7,   95.2,  536.1, 1399.0,  369.3,  283.1,   92.7,  283.1,   95.2,   92.7,  536.1,   95.2,  536.1, 1399.0,  369.3, 1399.0,  369.3, 27, 28, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2950, 25.3,  0.98, -0.01, -0.18,    0.8,   -0.5,   -1.9,0,0,13,05,2024,16,31,58,  3,255,  288,   89,  114,  669, 1702,  351,  288,   89,  288,  114,   89,  669,  114,  669, 1702,  351, 1702,  351,  282.1,   92.7,   95.2,  534.5, 1394.9,  368.3,  282.1,   92.7,  282.1,   95.2,   92.7,  534.5,   95.2,  534.5, 1394.9,  368.3, 1394.9,  368.3, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2949, 25.3,  0.97, -0.02, -0.17,    0.9,   -0.6,   -2.3,0,0,13,05,2024,16,32,08,  3,255,  288,   89,  114,  668, 1701,  351,  288,   89,  288,  114,   89,  668,  114,  668, 1701,  351, 1701,  351,  282.1,   92.7,   95.2,  533.7, 1394.1,  368.3,  282.1,   92.7,  282.1,   95.2,   92.7,  533.7,   95.2,  533.7, 1394.1,  368.3, 1394.1,  368.3, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2949, 25.3,  0.98, -0.01, -0.17,    0.8,   -0.5,   -2.1,0,0,13,05,2024,16,32,18,  3,255,  288,   89,  114,  667, 1699,  350,  288,   89,  288,  114,   89,  667,  114,  667, 1699,  350, 1699,  350,  282.1,   92.7,   95.2,  532.9, 1392.5,  367.2,  282.1,   92.7,  282.1,   95.2,   92.7,  532.9,   95.2,  532.9, 1392.5,  367.2, 1392.5,  367.2, 27, 27, 26,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2948, 25.3,  0.98, -0.01, -0.17,    0.7,   -0.5,   -1.9,0,0,13,05,2024,16,32,28,  3,255,  288,   89,  114,  667, 1697,  350,  288,   89,  288,  114,   89,  667,  114,  667, 1697,  350, 1697,  350,  282.1,   92.7,   95.2,  532.9, 1390.8,  367.2,  282.1,   92.7,  282.1,   95.2,   92.7,  532.9,   95.2,  532.9, 1390.8,  367.2, 1390.8,  367.2, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2947, 25.3,  0.97, -0.01, -0.17,    0.8,   -0.5,   -2.1,0,0,13,05,2024,16,32,38,  3,255,  288,   89,  114,  667, 1695,  350,  288,   89,  288,  114,   89,  667,  114,  667, 1695,  350, 1695,  350,  282.1,   92.7,   95.2,  532.9, 1389.2,  367.2,  282.1,   92.7,  282.1,   95.2,   92.7,  532.9,   95.2,  532.9, 1389.2,  367.2, 1389.2,  367.2, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2946, 25.3,  0.97, -0.01, -0.18,    0.7,   -0.5,   -2.0,0,0,13,05,2024,16,32,48,  3,255,  288,   89,  114,  667, 1696,  347,  288,   89,  288,  114,   89,  667,  114,  667, 1696,  347, 1696,  347,  282.1,   92.7,   95.2,  532.9, 1390.0,  364.1,  282.1,   92.7,  282.1,   95.2,   92.7,  532.9,   95.2,  532.9, 1390.0,  364.1, 1390.0,  364.1, 27, 28, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   1, 2048,   93,   63, 2945, 25.3,  0.98, -0.02, -0.18,    0.9,   -0.7,   -2.1,0,0,13,05,2024,16,32,58,  3,255,  287,   89,  114,  666, 1697,  350,  287,   89,  287,  114,   89,  666,  114,  666, 1697,  350, 1697,  350,  281.1,   92.7,   95.2,  532.1, 1390.8,  367.2,  281.1,   92.7,  281.1,   95.2,   92.7,  532.1,   95.2,  532.1, 1390.8,  367.2, 1390.8,  367.2, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
