input_wavelength;intensity;bandwidth;angle;gain;integrationtime;UVA;UVB;UVC;temp;AccX;AccY;AccZ;GYRO_X;GYRO_Y;GYRO_Z;input1;input2;day;month;year;hour;minute;second;VISgain;VISintegrationtime;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;CH17;CH18;c_CH1;c_CH2;c_CH3;c_CH4;c_CH5;c_CH6;c_CH7;c_CH8;c_CH9;c_CH10;c_CH11;c_CH12;c_CH13;c_CH14;c_CH15;c_CH16;c_CH17;c_CH18;temp1;temp2;temp3;Label;uiI2CReadError;uiI2CWriteError;uiStatus1;uiStatus2;Label.1;uiI2CReadError.1;uiI2CWriteError.1;Label.2;uiI2CError;uiI2CReadDetailError;uiI2CWriteDetailError
500;100;5;0;1;4096;1.0;1.0;1.0;29.9;-1.0;-0.26;-0.15;2.5;-0.5;-2.1;0;0;21;8;2024;16;4;45;3;255;2;2;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;32;32;33;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-15;1;4096;1.0;1.0;1.0;29.9;-1.06;0.1;-0.27;-1.4;-0.3;0.6;0;0;21;8;2024;16;5;34;3;255;2;2;2;1;1;1;2;2;2;2;2;1;2;1;1;1;1;1;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;1.0;32;32;33;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-30;1;4096;1.0;1.0;1.0;29.9;-0.99;-0.28;-0.11;3.2;-1.2;-2.8;0;0;21;8;2024;16;6;24;3;255;2;2;2;1;1;1;2;2;2;2;2;1;2;1;1;1;1;1;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;1.0;32;32;32;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-45;1;4096;1.0;1.0;1.0;29.9;-1.02;-0.09;-0.18;1.0;-0.9;-1.0;0;0;21;8;2024;16;7;14;3;255;2;2;1;1;1;1;2;2;2;1;2;1;1;1;1;1;1;1;1.0;1.0;0.47058823529411775;0.5;1.0;1.0;1.0;1.0;1.0;0.47058823529411775;1.0;0.5;0.47058823529411775;0.5;1.0;1.0;1.0;1.0;32;32;32;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-60;1;4096;1.0;1.0;1.0;29.9;-1.04;0.05;-0.25;0.0;-0.3;-0.5;0;0;21;8;2024;16;8;4;3;255;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0.5;0.4761904761904762;0.47058823529411775;0.5;0.0;1.0;0.5;0.4761904761904762;0.5;0.47058823529411775;0.4761904761904762;0.5;0.47058823529411775;0.5;0.0;1.0;0.0;1.0;32;32;32;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-75;1;4096;1.0;1.0;1.0;29.9;-1.01;-0.2;-0.13;2.4;-1.4;-2.0;0;0;21;8;2024;16;8;54;3;255;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1;0.5;0.4761904761904762;0.0;0.0;0.0;1.0;0.5;0.4761904761904762;0.5;0.0;0.4761904761904762;0.0;0.0;0.0;0.0;1.0;0.0;1.0;32;31;31;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;15;1;4096;1.0;1.0;1.0;29.9;-1.04;0.02;-0.24;-0.5;-0.5;-0.1;0;0;21;8;2024;16;9;44;3;255;2;2;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;32;32;32;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;30;1;4096;1.0;1.0;1.0;29.9;-0.99;-0.28;-0.16;3.5;-0.4;-2.9;0;0;21;8;2024;16;10;34;3;255;2;2;2;1;1;1;2;2;2;2;2;1;2;1;1;1;1;1;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;1.0;32;32;32;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;45;1;4096;1.0;1.0;1.0;29.9;-1.02;-0.03;-0.18;0.6;-0.6;-1.0;0;0;21;8;2024;16;11;24;3;255;2;2;1;1;1;1;2;2;2;1;2;1;1;1;1;1;1;1;1.0;1.0;0.47058823529411775;0.5;1.0;1.0;1.0;1.0;1.0;0.47058823529411775;1.0;0.5;0.47058823529411775;0.5;1.0;1.0;1.0;1.0;32;32;32;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;60;1;4096;1.0;1.0;1.0;29.9;-1.03;-0.07;-0.23;1.2;-0.5;-1.2;0;0;21;8;2024;16;12;14;3;255;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0.5;0.4761904761904762;0.47058823529411775;0.5;0.0;1.0;0.5;0.4761904761904762;0.5;0.47058823529411775;0.4761904761904762;0.5;0.47058823529411775;0.5;0.0;1.0;0.0;1.0;32;32;32;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;75;1;4096;1.0;1.0;1.0;29.9;-1.03;-0.05;-0.23;1.5;-0.4;-1.5;0;0;21;8;2024;16;12;54;3;255;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1;0.5;0.4761904761904762;0.0;0.0;0.0;1.0;0.5;0.4761904761904762;0.5;0.0;0.4761904761904762;0.0;0.0;0.0;0.0;1.0;0.0;1.0;32;33;32;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
